claim_id,claim,maturity,code_revision,workload_configuration,environment,raw_evidence,derived_evidence,allowed_wording,limitations
S3-ENG-001,Original baseline and regression reproduced,unit-tested,939f2bd; cc5fe5a,20 baseline tests; two producer-failure regressions before fix,Baseline JVM/Maven/OS recorded in raw/baseline-environment.txt,raw/baseline-939f2bd-20260905.txt; raw/producer-regression-red.txt,SDK docs/decisions/0001-explicit-completion.md,The original close contract could publish output after a producer exception; failing regressions preceded the fix.,Baseline is historical and distinct from candidate tests.
S3-ENG-002,Explicit commit and default abort on close,local integration-tested,8f41160842e144653bc5b5d4838eeb9d5e6c785c,Recommended direct/callback API; producer exceptions before and after multipart,Corretto 11/17/21; local Moto 5.1.12,raw/patched-java-matrix-20260907/,SDK README.md; docs/migration.md,The recommended API commits only on explicit success and aborts on uncommitted close.,Legacy autoCommitOnClose can still publish partial output; swallowing producer errors declares success; lost completion response remains ambiguous.
S3-ENG-003,Part boundary and fixed capacity enforced,unit-tested,8f41160842e144653bc5b5d4838eeb9d5e6c785c,Empty; P-1; P; P+1; exact length; part arithmetic; 10000/10001 guard,Corretto 11/17/21,raw/patched-java-matrix-20260907/,SDK MultipartLimits.java; README.md,Objects at most one part use PutObject; default 5 MiB parts cap capacity at 52428800000 bytes (48.828125 GiB).,Array-size and available-heap constraints apply; not an unlimited stream; huge sizes tested arithmetically rather than uploaded.
S3-ENG-004,Terminal resource and error handling,local integration-tested,8f41160842e144653bc5b5d4838eeb9d5e6c785c,Success; abort; create/part/put/complete errors; cleanup errors; listener errors; interruption,Corretto 11/17/21; local Moto,raw/patched-java-matrix-20260907/,SDK lifecycle tests and README.md,Terminal paths release owned buffer and multipart references; primary failures retain suppressed cleanup failures.,Reference release does not force collection. Retained caller snapshots and SDK memory are additional; interrupted sync HTTP calls still need timeouts.
S3-ENG-005,Candidate Java compatibility matrix,local integration-tested,8f41160842e144653bc5b5d4838eeb9d5e6c785c,75 unit invocations and 16 integration invocations per JDK; clean builds,Corretto 11.0.30/17.0.18/21.0.10; Moto 5.1.12,raw/patched-java-matrix-20260907/matrix.json,RELEASE_EVIDENCE.md,"75 unit and 16 local integration invocations passed on each of Java 11, 17 and 21.",Local evidence only; no revised remote CI run or real-S3 validation.
S3-ENG-006,Historical 128 MiB time and memory comparison,reproducibly benchmarked,c8b37fe; exact hashes in source-snapshots/index.json,128m-unknown; 5 MiB parts; 64 KiB writes; n=5 measured after 2 warmups; six adapters,macOS 26.1 arm64; 24 GiB RAM; Corretto 21.0.10; -Xms128m -Xmx512m; G1; Moto 5.1.12 loopback HTTP; SDK 2.47.3,raw/benchmark-success-20260906/,analysis/success-summary.csv; analysis/128m-comparison.png,"Improved serial median 0.60 s [0.59,0.61], sampled peak heap 21.54 MiB and RSS 184.16 MiB; original serial 0.69 s, 54.70 MiB heap, 220.44 MiB RSS.",Historical transports; single JVM block per adapter on one shared host; samples are lower bounds; no universal speedup or fixed process bound.
S3-ENG-007,Producer/compression resource cost remains visible,reproducibly benchmarked,c8b37fe; source hashes archived,64m-zip-csv; 64 MiB uncompressed input; generated deterministic ZIP; n=5,macOS 26.1 arm64; 24 GiB RAM; Corretto 21.0.10; -Xms128m -Xmx512m; G1; Moto 5.1.12 loopback HTTP; SDK 2.47.3,raw/benchmark-success-20260906/,analysis/success-summary.csv,"Improved serial median 1.41 s, 92.47 MiB sampled peak heap and 221.25 MiB RSS for this synthetic CSV-in-ZIP workload.",Final object is about 15.7 MiB; throughput uses stored bytes; not an Excel or production benchmark.
S3-ENG-008,AWS async performance alternative,reproducibly benchmarked,c8b37fe; source hashes archived,128m-unknown; AWS raw blocking body; multipart enabled; API buffer=4 parts; HTTP concurrency=4; n=5,macOS 26.1 arm64; 24 GiB RAM; Corretto 21.0.10; -Xms128m -Xmx512m; G1; Moto 5.1.12 loopback HTTP; SDK 2.47.3,raw/benchmark-success-20260906/,analysis/success-summary.csv,"AWS raw async median 0.37 s, 93.20 MiB sampled peak heap and 285.84 MiB RSS in the historical local 128 MiB case.",This is one configuration; AWS also has a buffered retry option; no universal ranking.
S3-ENG-009,Producer-failure visibility comparison,reproducibly benchmarked,f7c4b88 plus hash-archived final driver,12 MiB target; injected producer failure at 1 KiB or 6 MiB; three fresh forks per adapter/case,macOS 26.1 arm64; 24 GiB RAM; Corretto 21.0.10; -Xms128m -Xmx512m; G1; Moto 5.1.12 loopback HTTP; SDK 2.47.3,raw/benchmark-final-failures-20260906/,analysis/failure-summary.csv,Original close published partial objects in all three forks at each producer-failure position; improved explicit-success path left no final object in those six observations.,Specific local observations; other safe adapters also avoided partial publication. Does not cover crashes or arbitrary application mistakes.
S3-ENG-010,Replay configuration changes AWS retry behavior,reproducibly benchmarked,f7c4b88 plus source snapshot,Transient part 503; retry limit 2; three fresh forks; raw vs BufferedSplittableAsyncRequestBody bufferBeforeSend(true),macOS 26.1 arm64; 24 GiB RAM; Corretto 21.0.10; -Xms128m -Xmx512m; G1; Moto 5.1.12 loopback HTTP; SDK 2.47.3,raw/benchmark-final-failures-20260906/; raw/benchmark-final-aws-retry-failures-20260906/,analysis/failure-summary.csv; analysis/aws-retry-failure-summary.csv,Improved and AWS buffered-retry paths produced correct objects in all three transient-fault forks; the raw AWS blocking body did not replay successfully.,Different body configurations; include AWS retry-capable option rather than implying AWS cannot retry streams.
S3-ENG-011,Cleanup failure and timeout boundaries,reproducibly benchmarked,f7c4b88 plus final driver hashes,Part-plus-abort failure and complete failure; three forks; faults active through inspection,macOS 26.1 arm64; 24 GiB RAM; Corretto 21.0.10; -Xms128m -Xmx512m; G1; Moto 5.1.12 loopback HTTP; SDK 2.47.3,raw/benchmark-final-failures-20260906/; raw/benchmark-final-aws-retry-failures-20260906/,analysis/failure-summary.csv; analysis/aws-retry-failure-summary.csv,Improved part-plus-abort failure left one orphan in each fork; CI-CMG timed out in six permanent-part/part-plus-abort jobs and left three orphans across completion-failure forks.,Timeout visibility is unknown. Harness cleanup is not adapter cleanup. Single-PUT alternatives do not exercise multipart faults.
S3-ENG-012,AWS known-length signing correction,reproducibly benchmarked,f7c4b88; source snapshots,128 MiB known-length local HTTP; chunked signing enabled; n=5 after 2 warmups,macOS 26.1 arm64; 24 GiB RAM; Corretto 21.0.10; -Xms128m -Xmx512m; G1; Moto 5.1.12 loopback HTTP; SDK 2.47.3,raw/benchmark-corrected-supplement-20260906/,analysis/supplement-summary.csv,"Corrected AWS known-length uploads passed, with median 0.34 s [0.33,0.38] in this separately recorded supplement.",Original failure was harness signing configuration; do not pool supplementary measurements into main sweep.
S3-ENG-013,Patched transports validated,local integration-tested,8f41160842e144653bc5b5d4838eeb9d5e6c785c,Clean Java matrix; six-adapter 128 MiB check; AWS buffered known/unknown and seven fault cases,Historical host/fixture; Netty 4.1.137.Final; HttpClient 5.6.3; HttpCore 5.4.3,raw/patched-java-matrix-20260907/; raw/benchmark-patched-transports-20260907/; raw/benchmark-patched-aws-retry-success-20260907/; raw/benchmark-patched-aws-retry-failures-20260907/,analysis/patched-transports/REPORT.md,"The transport update passed the local matrix, all 56 new success rows and all 21 completed AWS fault observations with recorded expected limitations.",Separate post-update datasets; no claim that fault cases all succeeded as uploads.
S3-ENG-014,Dated dependency advisory lookup,implemented,8f41160842e144653bc5b5d4838eeb9d5e6c785c,OSV batch for all 60 comparison-classpath Maven coordinates,OSV query date 2026-09-07 UTC; includes provided/test dependencies,raw/dependency-osv-patched-20260907.json,RELEASE_EVIDENCE.md,The September 7 OSV lookup returned no advisory matches for the 60 checked package versions.,Not a security guarantee or whole-application audit. Consumers supply the client and control their dependency set.
S3-ENG-015,Local release artifacts built and inspected,implemented,8f41160842e144653bc5b5d4838eeb9d5e6c785c,Binary/source/Javadoc JARs; Java 11 classfile level; strict doclint,Corretto 11/17/21,raw/patched-java-matrix-20260907/,RELEASE_EVIDENCE.md; SDK docs/release.md,Local candidate packaging and strict Javadocs passed inspection.,"Unreleased. Namespace ownership, publisher credentials, signing, human review and explicit distribution approval remain."
S3-ENG-016,Article and paper maturity,proposed,8f41160842e144653bc5b5d4838eeb9d5e6c785c,Technical draft and evidence package,Local workstream; user engineering-only direction,PAPER_GO_NO_GO.md; SDK docs/article.md,ARTICLE_CLAIM_AUDIT.md; SDK docs/WRITING_HANDOFF.md,An engineering article draft is prepared; final writing/author review and publication are pending. No paper is in preparation.,"Do not imply an article release, manuscript, venue submission or research novelty."
